RepoName,RepoType,GitHubURL,TravisFileURL
bmcfee/pumpp,Applied,https://github.com/bmcfee/pumpp.git,https://github.com/bmcfee/pumpp/blob/master/.travis.yml
namisan/mt-dnn,Applied,https://github.com/namisan/mt-dnn.git,https://github.com/namisan/mt-dnn/blob/master/.travis.yml
adhaamehab/arabicnlp,Tool,https://github.com/adhaamehab/arabicnlp.git,https://github.com/adhaamehab/arabicnlp/blob/master/.travis.yml
datarobot/pic2vec,Applied,https://github.com/datarobot/pic2vec.git,https://github.com/datarobot/pic2vec/blob/master/.travis.yml
Liebeck/spacy-sentiws,Applied,https://github.com/Liebeck/spacy-sentiws.git,https://github.com/Liebeck/spacy-sentiws/blob/master/.travis.yml
i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7,Tool,https://github.com/i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7.git,https://github.com/i3thuan5/tai5-uan5_gian5-gi2_kang1-ku7/blob/master/.travis.yml
pycroscopy/pycroscopy,Applied,https://github.com/pycroscopy/pycroscopy.git,https://github.com/pycroscopy/pycroscopy/blob/master/.travis.yml
IBM/MAX-Object-Detector,Applied,https://github.com/IBM/MAX-Object-Detector.git,https://github.com/IBM/MAX-Object-Detector/blob/master/.travis.yml
sinhrks/daskperiment,Tool,https://github.com/sinhrks/daskperiment.git,https://github.com/sinhrks/daskperiment/blob/master/.travis.yml
nature1995/Face-Recognition-System,Applied,https://github.com/nature1995/Face-Recognition-System.git,https://github.com/nature1995/Face-Recognition-System/blob/master/.travis.yml
sorenlind/lemmy,Tool,https://github.com/sorenlind/lemmy.git,https://github.com/sorenlind/lemmy/blob/master/.travis.yml
Zenohm/Friday,Applied,https://github.com/Zenohm/Friday.git,https://github.com/Zenohm/Friday/blob/master/.travis.yml
okfn-brasil/serenata-de-amor,Applied,https://github.com/okfn-brasil/serenata-de-amor.git,https://github.com/okfn-brasil/serenata-de-amor/blob/master/.travis.yml
VSainteuf/izitorch,Tool,https://github.com/VSainteuf/izitorch.git,https://github.com/VSainteuf/izitorch/blob/master/.travis.yml
CyberZHG/keras-gpt-2,Applied,https://github.com/CyberZHG/keras-gpt-2.git,https://github.com/CyberZHG/keras-gpt-2/blob/master/.travis.yml
NTMC-Community/MatchZoo,Applied,https://github.com/NTMC-Community/MatchZoo.git,https://github.com/NTMC-Community/MatchZoo/blob/master/.travis.yml
bfelbo/DeepMoji,Applied,https://github.com/bfelbo/DeepMoji.git,https://github.com/bfelbo/DeepMoji/blob/master/.travis.yml
datmo/datmo,Applied,https://github.com/datmo/datmo.git,https://github.com/datmo/datmo/blob/master/.travis.yml
trevorstephens/gplearn,Tool,https://github.com/trevorstephens/gplearn.git,https://github.com/trevorstephens/gplearn/blob/master/.travis.yml
ealcobaca/pymfe,Applied,https://github.com/ealcobaca/pymfe.git,https://github.com/ealcobaca/pymfe/blob/master/.travis.yml
lucasmaystre/choix,Applied,https://github.com/lucasmaystre/choix.git,https://github.com/lucasmaystre/choix/blob/master/.travis.yml
dmbee/seglearn,Applied,https://github.com/dmbee/seglearn.git,https://github.com/dmbee/seglearn/blob/master/.travis.yml
mackelab/delfi,Applied,https://github.com/mackelab/delfi.git,https://github.com/mackelab/delfi/blob/master/.travis.yml
elitcloud/elit,Tool,https://github.com/elitcloud/elit.git,https://github.com/elitcloud/elit/blob/master/.travis.yml
undertheseanlp/languageflow,Applied,https://github.com/undertheseanlp/languageflow.git,https://github.com/undertheseanlp/languageflow/blob/master/.travis.yml
